SNO,cap.shape,cap.surface,cap.color,bruises,odor,gill.attachment,gill.spacing,gill.size,gill.color,stalk.shape,stalk.root,stalk.surface.above.ring,stalk.surface.below.ring,stalk.color.above.ring,stalk.color.below.ring,veil.type,veil.color,ring.number,ring.type,spore.print.color,population,habitat,target
940,x,y,e,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,y,d,e
941,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
947,f,f,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,e
948,b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
951,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,p
954,x,f,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,e
959,f,f,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,e
963,x,f,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,e
964,x,f,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d,e
970,x,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,e
971,f,f,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,e
974,x,f,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e
977,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
982,x,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
986,x,f,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,e
987,f,f,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e
993,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e
994,f,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,e
997,x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
1000,f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1005,x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,g,e
1009,x,f,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1010,x,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
1016,f,f,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
1017,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,e
1020,x,f,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d,e
1023,b,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1028,f,s,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e
1032,x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1033,x,f,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1039,x,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u,e
1040,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1043,x,f,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1046,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
1051,x,f,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,v,d,e
1055,x,f,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1056,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
1062,x,s,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e
1063,x,s,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1066,f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
1069,x,f,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d,e
1074,x,f,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d,e
1078,f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,p
1079,f,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1085,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1086,f,f,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1089,f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1092,x,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,g,e
1097,x,f,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1101,x,f,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1102,f,s,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1108,f,f,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1109,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
1112,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,p
1115,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,g,e
1120,x,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1124,x,f,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d,e
1125,f,s,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
1131,f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,p
1132,x,f,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1135,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1138,b,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
1143,f,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1147,f,s,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1148,x,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1154,f,s,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1155,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1158,f,f,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1161,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
1166,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
1170,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
1171,x,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1177,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
1178,f,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,v,u,e
1181,x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,y,p,e
1184,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1189,x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
1193,x,f,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,e
1194,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,p,e
1200,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
1201,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e
1204,f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1207,f,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1212,f,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1216,f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g,p
1217,x,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1223,x,f,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1224,f,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1227,x,y,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,e
1230,x,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d,e
1235,f,s,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1239,x,s,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1240,x,s,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1246,x,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1247,f,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1250,f,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1253,f,s,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1258,f,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1262,f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1263,f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,p
1269,x,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1270,x,y,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d,e
1273,f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1276,f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1281,b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
1285,x,f,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1286,f,f,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1292,x,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1293,x,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1296,x,s,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1299,x,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,e
1304,x,f,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,y,d,e
1308,f,s,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1309,f,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1315,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1316,f,f,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1319,b,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e
1322,x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1327,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1331,x,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1332,f,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1338,x,f,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d,e
1339,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
1342,f,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1345,f,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1350,x,y,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d,e
1354,f,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1355,x,s,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1361,f,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1362,f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1365,x,f,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1368,f,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1373,x,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1377,f,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1378,f,f,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1384,f,s,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1385,f,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1388,x,f,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d,e
1391,x,f,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d,e
1396,x,f,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d,e
1400,f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1401,f,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1407,x,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1408,x,s,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1411,x,f,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1414,x,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1419,x,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1423,x,f,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,v,d,e
1424,f,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1430,f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1431,x,s,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1434,x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1437,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
1442,x,s,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1446,f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1447,x,s,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1453,x,f,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1454,f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p
1457,x,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1460,f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p
1465,x,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1469,f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1470,x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1476,f,f,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1477,f,s,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1480,x,f,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1483,x,f,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1488,f,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1492,f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,u,p
1493,f,s,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1499,x,f,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1500,x,f,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1503,f,f,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1506,x,f,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d,e
1511,x,f,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1515,x,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
1516,f,f,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1522,f,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1523,x,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1526,x,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1529,x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
1534,f,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1538,x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,u,p
1539,x,s,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1545,x,f,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1546,x,y,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d,e
1549,x,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e
1552,b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
1557,x,s,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1561,x,f,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1562,f,s,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1568,x,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1569,f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1572,x,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1575,x,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
1580,f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,p
1584,f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,p
1585,f,s,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1591,f,s,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1592,x,f,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1595,x,f,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1598,x,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1603,f,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1607,f,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1608,x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1614,f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1615,f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p
1618,f,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1621,x,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1626,f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p
1630,f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1631,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1637,f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p
1638,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1641,x,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1644,f,f,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1649,x,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1653,x,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1654,x,s,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1660,x,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1661,f,f,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1664,x,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
1667,x,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g,e
1672,x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
1676,x,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1677,x,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1683,x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e
1684,f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,p
1687,f,s,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1690,x,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,d,e
1695,f,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1699,x,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1700,x,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1706,x,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1707,f,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1710,x,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d,e
1713,x,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,e
1718,x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e
1722,f,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,e
1723,x,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1729,x,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g,e
1730,x,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,e
1733,f,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1736,x,f,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,e
1741,x,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,e
1745,f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g,e
1746,f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g,p
1752,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,e
1753,x,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1756,f,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e
1759,x,f,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d,e
1764,x,f,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d,e
1768,x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,e
1769,x,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,e
1775,x,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,e
1776,x,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1779,f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1782,f,s,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1787,f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,p
1791,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,p
1792,f,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,e
1798,f,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1799,f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p
1802,x,f,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,e
1805,f,f,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d,e
1810,x,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e
1814,x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
1815,x,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,e
1821,f,s,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1822,x,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,e
1825,x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
1828,f,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,e
1833,f,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,e
1837,x,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d,e
1838,f,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e
1844,f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p
1845,x,y,e,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d,e
1848,x,y,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,e
1851,f,f,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d,e
1856,x,f,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d,e
1860,x,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,e
1861,x,f,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d,e
1867,x,y,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d,e
